"""Date"",""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"""May 16, 2017"",""159.41"",""160.50"",""161.18"",""159.33"",""3.46M"",""-0.38%"""
"""May 15, 2017"",""160.02"",""160.25"",""161.78"",""159.76"",""4.97M"",""-0.49%"""
"""May 12, 2017"",""160.81"",""159.11"",""160.84"",""158.51"",""5.09M"",""1.43%"""
"""May 11, 2017"",""158.54"",""160.33"",""160.52"",""157.55"",""5.68M"",""-1.09%"""
"""May 10, 2017"",""160.28"",""157.82"",""161.10"",""156.56"",""6.87M"",""1.79%"""
"""May 09, 2017"",""157.46"",""156.10"",""157.85"",""155.97"",""3.91M"",""0.69%"""
"""May 08, 2017"",""156.38"",""156.55"",""157.64"",""155.30"",""4.82M"",""-0.14%"""
"""May 05, 2017"",""156.60"",""158.55"",""158.59"",""155.90"",""5.34M"",""-0.41%"""
"""May 04, 2017"",""157.25"",""155.59"",""157.90"",""154.55"",""5.58M"",""1.07%"""
"""May 03, 2017"",""155.59"",""156.29"",""156.54"",""154.88"",""3.93M"",""-0.55%"""
"""May 02, 2017"",""156.45"",""155.76"",""156.50"",""154.61"",""5.38M"",""0.71%"""
"""May 01, 2017"",""155.35"",""151.91"",""157.70"",""151.61"",""9.03M"",""2.07%"""
"""Apr 28, 2017"",""152.20"",""152.71"",""152.97"",""150.94"",""6.37M"",""-0.57%"""
"""Apr 27, 2017"",""153.08"",""150.60"",""153.49"",""149.30"",""7.72M"",""1.94%"""
"""Apr 26, 2017"",""150.17"",""151.53"",""152.15"",""148.90"",""9.27M"",""-1.31%"""
"""Apr 25, 2017"",""152.16"",""147.46"",""153.52"",""146.22"",""20.67M"",""5.79%"""
"""Apr 24, 2017"",""143.83"",""143.61"",""144.50"",""143.40"",""4.80M"",""0.67%"""
"""Apr 21, 2017"",""142.87"",""141.39"",""143.03"",""140.90"",""6.82M"",""1.20%"""
"""Apr 20, 2017"",""141.18"",""140.30"",""141.80"",""139.27"",""7.25M"",""1.02%"""
"""Apr 19, 2017"",""139.76"",""143.37"",""144.00"",""138.66"",""12.40M"",""-2.51%"""
